Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000703|b0  1  0  0  0  0  0  0| 0 b0|010|0000 0006|
0000000706|b1  1  0  0  0  0  0  0| 0 b0|010|0000 0005|
0000000707|b1  1  0  0  0  0  0  0| 0 b1|010|0000 0006|
0000000710|b2  1  0  0  0  0  0  0| 0 b1|010|0000 0005|
0000000711|b2  1  0  0  0  0  0  0| 0 b2|010|0000 0006|
0000000714|b3  1  0  0  0  0  0  0| 0 b2|010|0000 0005|
0000000715|b3  1  0  0  0  0  0  0| 0 b3|010|0000 0006|
0000000718|b4  1  0  0  0  0  0  0| 0 b3|010|0000 0005|
0000000719|b4  1  0  0  0  0  0  0| 0 b4|010|0000 0006|
0000000722|b5  1  0  0  0  0  0  0| 0 b4|010|0000 0005|
0000000723|b5  1  0  0  0  0  0  0| 0 b5|010|0000 0006|
0000000726|b6  1  0  0  0  0  0  0| 0 b5|010|0000 0005|
0000000727|b6  1  0  0  0  0  0  0| 0 b6|010|0000 0006|
0000000730|b7  1  0  0  0  0  0  0| 0 b6|010|0000 0005|
0000000731|b7  1  0  0  0  0  0  0| 0 b7|010|0000 0006|
0000000734|b8  1  0  0  0  0  0  0| 0 b7|010|0000 0005|
0000000735|b8  1  0  0  0  0  0  0| 0 b8|010|0000 0006|
0000000738|b9  1  0  0  0  0  0  0| 0 b8|010|0000 0005|
0000000739|b9  1  0  0  0  0  0  0| 0 b9|010|0000 0006|
0000000742|ba  1  0  0  0  0  0  0| 0 b9|010|0000 0005|
0000000743|ba  1  0  0  0  0  0  0| 0 ba|010|0000 0006|
0000000746|bb  1  0  0  0  0  0  0| 0 ba|010|0000 0005|
0000000747|bb  1  0  0  0  0  0  0| 0 bb|010|0000 0006|
0000000750|bc  1  0  0  0  0  0  0| 0 bb|010|0000 0005|
0000000751|bc  1  0  0  0  0  0  0| 0 bc|010|0000 0006|
0000000754|bd  1  0  0  0  0  0  0| 0 bc|010|0000 0005|
0000000755|bd  1  0  0  0  0  0  0| 0 bd|010|0000 0006|
0000000758|be  1  0  0  0  0  0  0| 0 bd|010|0000 0005|
0000000759|be  1  0  0  0  0  0  0| 0 be|010|0000 0006|
0000000762|bf  1  0  0  0  0  0  0| 0 be|010|0000 0005|
